District,Height-for-age: % below -3 SD,hfa % below -2 SD²,hfa Mean Z-score (SD),N (hfa),Weight-for-height: % below -3 SD,wfh % below -2 SD²,wfg% above +2 SD,wfh Mean Z-score (SD),N (wfh),Weight-for-age: % below -3 SD,wfa % below -2 SD²,wfa % above +2 SD,wfa Mean Z-score (SD),N (wfa),Total Micronutrient Adequacy low,Total Micronutrient Adequacy mid,Total Micronutrient Adequacy high,Fe low,Fe mid,Fe high,Zn low,Zn mid,Zn high,Vit. A low,Vit. A mid,Vit. A high,Province,Population
Nyarugenge,6.0,27.9,-1.2,112,0.0,1.6,5.1,0.3,112,3.0,7.6,1.4,-0.5,112,55.0,57.5,60.0,50.0,55.0,60.0,60.0,65.0,70.0,50.0,55.0,60.0,City of Kigali,374319.0
Gasabo,7.5,23.2,-1.2,321,0.6,2.3,6.7,0.4,319,0.7,4.7,1.1,-0.4,321,60.0,62.5,65.0,50.0,55.0,60.0,60.0,65.0,70.0,60.0,65.0,70.0,City of Kigali,879505.0
Kicukiro,2.0,10.7,-0.7,127,0.0,0.6,6.3,0.4,127,0.0,2.6,2.7,-0.1,128,60.0,62.5,65.0,50.0,55.0,60.0,60.0,65.0,70.0,60.0,65.0,70.0,City of Kigali,491731.0
Nyanza,9.8,32.4,-1.6,118,0.0,3.0,2.2,0.2,118,4.3,10.4,0.0,-0.8,118,50.0,52.5,55.0,40.0,45.0,50.0,50.0,55.0,60.0,50.0,55.0,60.0,South,365718.0
Gisagara,6.4,31.6,-1.4,95,0.8,4.7,2.8,-0.1,95,3.0,12.6,0.0,-0.9,95,50.0,52.5,55.0,50.0,55.0,60.0,50.0,55.0,60.0,50.0,55.0,60.0,South,397051.0
Nyaruguru,12.2,39.1,-1.7,99,0.0,4.6,1.9,0.1,99,2.7,15.0,0.9,-0.9,99,55.0,57.5,60.0,50.0,55.0,60.0,50.0,55.0,60.0,70.0,75.0,80.0,South,318126.0
Huye,8.2,29.2,-1.5,105,0.0,0.0,4.4,0.3,105,0.7,9.3,0.0,-0.6,105,55.0,57.5,60.0,50.0,55.0,60.0,60.0,65.0,70.0,60.0,65.0,70.0,South,381900.0
Nyamagabe,10.9,33.6,-1.6,98,0.0,2.0,3.9,0.2,98,2.3,11.0,0.0,-0.8,98,55.0,57.5,60.0,50.0,55.0,60.0,50.0,55.0,60.0,70.0,75.0,80.0,South,371501.0
Ruhango,13.3,38.5,-1.7,110,0.0,1.2,6.0,0.5,110,0.8,11.1,0.0,-0.6,110,50.0,52.5,55.0,40.0,45.0,50.0,50.0,55.0,60.0,50.0,55.0,60.0,South,359121.0
Muhanga,6.6,35.8,-1.7,99,0.0,1.6,2.4,0.3,99,1.8,6.4,0.0,-0.7,100,45.0,47.5,50.0,40.0,45.0,50.0,40.0,45.0,50.0,60.0,65.0,70.0,South,358433.0
