District,Province,Fe+5%,Fe+10%,Zn+5%,Zn+10%,VitA+5%,VitA+10%,All+5%,All+10%
Nyarugenge,City of Kigali,0.0,0.0,0.0,0.0,0.0,2.245,0.0,2.245
Gasabo,City of Kigali,0.0,0.0,0.0,0.0,-0.02,-0.02,-0.02,-0.02
Kicukiro,City of Kigali,0.0,0.0,0.0,0.0,-0.02,-0.02,-0.02,-0.02
Nyanza,South,-0.009,-0.009,0.0,2.848,0.0,0.598,-0.009,3.743
Gisagara,South,0.0,0.0,-0.067,3.62,0.0,0.572,-0.067,4.67
Nyaruguru,South,0.0,0.0,0.0,4.289,0.0,0.0,0.0,4.289
Huye,South,0.0,0.0,0.0,0.0,-0.072,-0.53,-0.072,-0.53
Nyamagabe,South,0.0,0.0,0.0,4.672,0.0,0.0,0.0,4.672
Ruhango,South,-0.009,-0.009,0.0,2.649,0.0,0.598,-0.009,3.544
Muhanga,South,0.0,0.0,0.0,0.0,0.037,-0.829,0.037,-0.829
Kamonyi,South,-0.009,-0.009,0.0,0.0,0.0,0.194,-0.009,0.194
Karongi,West,0.0,0.0,0.0,0.0,-0.053,-0.208,-0.053,-0.208
Rutsiro,West,-0.009,-0.009,0.0,0.0,0.0,1.78,-0.009,1.78
Rubavu,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyabihu,West,0.0,0.0,0.0,0.0,0.48,0.48,0.48,0.48
Ngororero,West,0.0,0.0,0.0,0.0,0.133,0.053,0.133,0.053
Rusizi,West,0.0,0.0,0.0,0.0,0.0,1.262,0.0,1.262
Nyamasheke,West,0.0,0.0,0.0,0.0,-0.029,-0.111,-0.029,-0.111
Rulindo,North,0.0,0.0,0.0,0.0,0.159,-0.827,0.159,-0.827
Gakenke,North,0.0,0.0,0.0,3.905,0.0,0.0,0.0,3.905
Musanze,North,0.0,0.0,0.0,5.259,0.224,0.224,0.224,5.237
Burera,North,0.0,0.0,0.0,4.384,0.093,0.833,0.093,5.466
Gicumbi,North,0.0,0.0,0.0,0.0,0.069,0.152,0.069,0.152
Rwamagana,East,0.0,0.0,0.0,0.0,0.0,0.319,0.0,0.319
Nyagatare,East,0.0,0.0,0.451,3.239,0.382,0.382,0.816,3.519
Gatsibo,East,0.0,0.0,0.0,0.0,0.0,0.298,0.0,0.298
Kayonza,East,0.0,0.0,0.0,0.0,0.0,0.395,0.0,0.395
Kirehe,East,0.0,0.0,0.0,0.0,0.627,0.627,0.627,0.627
Ngoma,East,0.0,0.0,0.0,0.0,0.0,0.881,0.0,0.881
Bugesera,East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
