Table 97: Southern Province population distribution by district and sector,,,,,,,
,District/Sector,Counts,,,Percentage,,
,,Total,Male,Female,Total,Male,Female
,Southern province,"3,002,699","1,448,455","1,554,244",100,48.2,51.8
,Nyanza,"365,718","178,645","187,073",100,48.8,51.2
,  Busasamana,"50,661","24,292","26,369",100,48,52
,  Busoro,"39,644","19,054","20,590",100,48.1,51.9
,  Cyabakamyi,"23,199","10,989","12,210",100,47.4,52.6
,  Kibilizi,"40,939","19,705","21,234",100,48.1,51.9
,  Kigoma,"41,004","19,736","21,268",100,48.1,51.9
,  Mukingo,"45,708","25,312","20,396",100,55.4,44.6
,  Muyira,"42,041","20,085","21,956",100,47.8,52.2
,  Ntyazo,"33,826","16,202","17,624",100,47.9,52.1
,  Nyagisozi,"28,092","13,539","14,553",100,48.2,51.8
,  Rwabicuma,"20,604","9,731","10,873",100,47.2,52.8
,Gisagara,"397,051","188,965","208,086",100,47.6,52.4
,  Gikonko,"28,772","13,776","14,996",100,47.9,52.1
,  Gishubi,"31,860","15,366","16,494",100,48.2,51.8
,  Kansi,"22,310","10,465","11,845",100,46.9,53.1
,  Kibirizi,"31,445","14,806","16,639",100,47.1,52.9
,  Kigembe,"22,488","10,611","11,877",100,47.2,52.8
,  Mamba,"45,283","21,896","23,387",100,48.4,51.6
,  Muganza,"36,530","17,358","19,172",100,47.5,52.5
,  Mugombwa,"36,469","17,116","19,353",100,46.9,53.1
,  Mukindo,"32,393","15,621","16,772",100,48.2,51.8
,  Musha,"28,762","13,856","14,906",100,48.2,51.8
,  Ndora,"30,171","14,121","16,050",100,46.8,53.2
,  Nyanza,"19,627","9,281","10,346",100,47.3,52.7
,  Save,"30,941","14,692","16,249",100,47.5,52.5
,Nyaruguru,"318,126","151,980","166,146",100,47.8,52.2
,  Busanze,"29,795","14,369","15,426",100,48.2,51.8
,  Cyahinda,"24,929","11,952","12,977",100,47.9,52.1
,  Kibeho,"25,885","12,326","13,559",100,47.6,52.4
,  Kivu,"19,812","9,536","10,276",100,48.1,51.9
,  Mata,"16,117","7,780","8,337",100,48.3,51.7
,  Muganza,"21,383","10,201","11,182",100,47.7,52.3
,  Munini,"19,760","9,642","10,118",100,48.8,51.2
,  Ngera,"24,242","11,477","12,765",100,47.3,52.7
,  Ngoma,"24,358","11,514","12,844",100,47.3,52.7
,  Nyabimata,"18,843","8,850","9,993",100,47,53
