Table 98: Western Province population distribution by district and sector,,,,,,,
,District/Sector,Counts,,,Percentage,,
,,Total,Male,Female,Total,Male,Female
,Western Province,"2,896,484","1,384,635","1,511,849",100,47.8,52.2
,Karongi,"373,869","178,417","195,452",100,47.7,52.3
,  Bwishyura,"40,720","19,930","20,790",100,48.9,51.1
,  Gashari,"21,263","10,156","11,107",100,47.8,52.2
,  Gishyita,"23,687","11,212","12,475",100,47.3,52.7
,  Gitesi,"29,312","14,125","15,187",100,48.2,51.8
,  Mubuga,"23,455","11,144","12,311",100,47.5,52.5
,  Murambi,"22,374","10,484","11,890",100,46.9,53.1
,  Murundi,"27,236","12,909","14,327",100,47.4,52.6
,  Mutuntu,"25,652","12,237","13,415",100,47.7,52.3
,  Rubengera,"40,337","19,188","21,149",100,47.6,52.4
,  Rugabano,"34,207","16,223","17,984",100,47.4,52.6
,  Ruganda,"19,132","9,184","9,948",100,48,52
,  Rwankuba,"38,286","18,157","20,129",100,47.4,52.6
,  Twumba,"28,208","13,468","14,740",100,47.7,52.3
,Rutsiro,"369,180","176,498","192,682",100,47.8,52.2
,  Boneza,"29,206","15,958","13,248",100,54.6,45.4
,  Gihango,"27,481","13,042","14,439",100,47.5,52.5
,  Kigeyo,"24,308","11,455","12,853",100,47.1,52.9
,  Kivumu,"35,027","16,415","18,612",100,46.9,53.1
,  Manihira,"19,386","9,235","10,151",100,47.6,52.4
,  Mukura,"38,627","18,167","20,460",100,47,53
,  Murunda,"23,401","11,306","12,095",100,48.3,51.7
,  Musasa,"25,716","12,321","13,395",100,47.9,52.1
,  Mushonyi,"24,085","11,331","12,754",100,47,53
,  Mushubati,"31,539","15,002","16,537",100,47.6,52.4
,  Nyabirasi,"33,304","15,630","17,674",100,46.9,53.1
,  Ruhango,"30,452","14,314","16,138",100,47,53
,  Rusebeya,"26,648","12,322","14,326",100,46.2,53.8
,Rubavu,"546,683","267,299","279,384",100,48.9,51.1
,  Bugeshi,"33,892","16,256","17,636",100,48,52
,  Busasamana,"40,542","19,399","21,143",100,47.8,52.2
,  Cyanzarwe,"38,977","18,662","20,315",100,47.9,52.1
,  Gisenyi,"51,594","25,456","26,138",100,49.3,50.7
,  Kanama,"37,584","17,738","19,846",100,47.2,52.8
,  Kanzenze,"23,127","10,821","12,306",100,46.8,53.2
,  Mudende,"32,077","15,253","16,824",100,47.6,52.4
,  Nyakiriba,"50,834","28,756","22,078",100,56.6,43.4
,  Nyamyumba,"48,718","23,728","24,990",100,48.7,51.3
,  Nyundo,"42,305","20,062","22,243",100,47.4,52.6
,  Rubavu,"80,107","38,764","41,343",100,48.4,51.6
,  Rugerero,"66,926","32,404","34,522",100,48.4,51.6
,Nyabihu,"319,047","150,072","168,975",100,47,53
,  Bigogwe,"34,439","16,385","18,054",100,47.6,52.4
,  Jenda,"43,168","20,454","22,714",100,47.4,52.6
,  Jomba,"21,897","10,253","11,644",100,46.8,53.2
,  Kabatwa,"20,841","9,907","10,934",100,47.5,52.5
,  Karago,"25,832","12,090","13,742",100,46.8,53.2
,  Kintobo,"15,315","7,153","8,162",100,46.7,53.3
,  Mukamira,"33,013","15,496","17,517",100,46.9,53.1
,  Muringa,"22,599","10,606","11,993",100,46.9,53.1
,  Rambura,"28,820","13,435","15,385",100,46.6,53.4
,  Rugera,"26,938","12,554","14,384",100,46.6,53.4
,  Rurembo,"24,399","11,500","12,899",100,47.1,52.9
,  Shyira,"21,786","10,239","11,547",100,47,53
,Ngororero,"367,955","171,065","196,890",100,46.5,53.5
,  Bwira,"20,012","9,341","10,671",100,46.7,53.3
,  Gatumba,"24,952","11,718","13,234",100,47,53
,  Hindiro,"26,040","12,030","14,010",100,46.2,53.8
,  Kabaya,"36,324","16,932","19,392",100,46.6,53.4
,  Kageyo,"25,929","12,075","13,854",100,46.6,53.4
,  Kavumu,"32,791","15,019","17,772",100,45.8,54.2
,  Matyazo,"27,673","12,962","14,711",100,46.8,53.2
,  Muhanda,"31,869","14,678","17,191",100,46.1,53.9
