Table 99: Northern Province population distribution by district and sector,,,,,,,
,District/Sector,Counts,,,Percentage,,
,,Total,Male,Female,Total,Male,Female
,Northern Province,"2,038,511","972,960","1,065,551",100,47.7,52.3
,Rulindo,"360,144","171,849","188,295",100,47.7,52.3
,  Base,"20,528","9,574","10,954",100,46.6,53.4
,  Burega,"13,893","6,571","7,322",100,47.3,52.7
,  Bushoki,"23,570","11,102","12,468",100,47.1,52.9
,  Buyoga,"24,721","11,743","12,978",100,47.5,52.5
,  Cyinzuzi,"15,768","7,543","8,225",100,47.8,52.2
,  Cyungo,"15,350","7,212","8,138",100,47,53
,  Kinihira,"17,145","8,082","9,063",100,47.1,52.9
,  Kisaro,"23,113","11,054","12,059",100,47.8,52.2
,  Masoro,"27,311","13,261","14,050",100,48.6,51.4
,  Mbogo,"19,101","9,070","10,031",100,47.5,52.5
,  Murambi,"27,283","13,293","13,990",100,48.7,51.3
,  Ngoma,"12,703","6,061","6,642",100,47.7,52.3
,  Ntarabana,"24,748","11,930","12,818",100,48.2,51.8
,  Rukozo,"17,021","8,045","8,976",100,47.3,52.7
,  Rusiga,"13,452","6,416","7,036",100,47.7,52.3
,  Shyorongi,"43,744","21,182","22,562",100,48.4,51.6
,  Tumba,"20,693","9,710","10,983",100,46.9,53.1
,Gakenke,"365,292","172,600","192,692",100,47.2,52.8
,  Busengo,"21,392","10,048","11,344",100,47,53
,  Coko,"17,942","8,673","9,269",100,48.3,51.7
,  Cyabingo,"18,785","8,917","9,868",100,47.5,52.5
,  Gakenke,"25,325","11,934","13,391",100,47.1,52.9
,  Gashenyi,"22,647","10,661","11,986",100,47.1,52.9
,  Janja,"16,007","7,423","8,584",100,46.4,53.6
,  Kamubuga,"23,336","10,950","12,386",100,46.9,53.1
,  Karambo,"13,617","6,318","7,299",100,46.4,53.6
,  Kivuruga,"19,967","9,333","10,634",100,46.7,53.3
,  Mataba,"15,520","7,397","8,123",100,47.7,52.3
,  Minazi,"14,193","6,729","7,464",100,47.4,52.6
,  Mugunga,"19,963","9,450","10,513",100,47.3,52.7
,  Muhondo,"21,334","10,296","11,038",100,48.3,51.7
,  Muyongwe,"16,053","7,461","8,592",100,46.5,53.5
,  Muzo,"21,816","10,099","11,717",100,46.3,53.7
,  Nemba,"16,854","7,851","9,003",100,46.6,53.4
,  Ruli,"22,464","10,962","11,502",100,48.8,51.2
,  Rusasa,"19,242","9,124","10,118",100,47.4,52.6
,  Rushashi,"18,835","8,974","9,861",100,47.6,52.4
,Musanze,"476,522","227,340","249,182",100,47.7,52.3
,  Busogo,"28,264","13,290","14,974",100,47,53
,  Cyuve,"62,179","29,347","32,832",100,47.2,52.8
,  Gacaca,"30,719","14,591","16,128",100,47.5,52.5
,  Gashaki,"14,272","6,761","7,511",100,47.4,52.6
,  Gataraga,"26,721","12,686","14,035",100,47.5,52.5
,  Kimonyi,"21,681","10,114","11,567",100,46.6,53.4
,  Kinigi,"32,297","15,423","16,874",100,47.8,52.2
,  Muhoza,"69,741","35,311","34,430",100,50.6,49.4
