District,Province,Total Population,Male,Female
Base,Southern Province,20528,9574,10954
Bigogwe,Northern Province,34439,16385,18054
Boneza,Northern Province,29206,15958,13248
Bugarama,Northern Province,42830,21197,21633
Bugesera,Western Province,551103,271468,279635
Bugeshi,Northern Province,33892,16256,17636
Bukure,Southern Province,20454,9943,10511
Bumbogo,City of Kigali,112899,56361,56538
Bungwe,Southern Province,16322,7712,8610
Burega,Southern Province,13893,6571,7322
Burera,Southern Province,387729,184782,202947
Buruhukiro,Eastern Province,27146,12955,14191
Busanze,Eastern Province,29795,14369,15426
Busasamana,Eastern Province,50661,24292,26369
Busasamana,Northern Province,40542,19399,21143
Busengo,Southern Province,21392,10048,11344
Bushekeri,Northern Province,29680,14067,15613
Bushenge,Northern Province,22624,10571,12053
Bushoki,Southern Province,23570,11102,12468
Busogo,Southern Province,28264,13290,14974
Busoro,Eastern Province,39644,19054,20590
Butare,Northern Province,25483,12243,13240
Butaro,Southern Province,38013,18352,19661
Buyoga,Southern Province,24721,11743,12978
Bweramana,Eastern Province,31152,15026,16126
Bweyeye,Northern Province,18109,9042,9067
Bwira,Northern Province,20012,9341,10671
Bwishyura,Northern Province,40720,19930,20790
Bwisige,Southern Province,17274,8229,9045
Byimana,Eastern Province,40046,19113,20933
Byumba,Southern Province,43134,20372,22762
City of Kigali,City of Kigali,1745555,888882,856673
Coko,Southern Province,17942,8673,9269
Cyabakamyi,Eastern Province,23199,10989,12210
Cyabingo,Southern Province,18785,8917,9868
Cyahinda,Eastern Province,24929,11952,12977
Cyanika,Eastern Province,25693,12252,13441
Cyanika,Southern Province,44510,21362,23148
Cyanzarwe,Northern Province,38977,18662,20315
Cyato,Northern Province,26996,12548,14448
Cyeru,Southern Province,14719,7020,7699
Cyeza,Eastern Province,34540,16410,18130
Cyinzuzi,Southern Province,15768,7543,8225
Cyumba,Southern Province,17218,8158,9060
Cyungo,Southern Province,15350,7212,8138
Cyuve,Southern Province,62179,29347,32832
Eastern Province,Western Province,3563145,1734394,1828751
Fumbwe,Western Province,33074,15678,17396
Gacaca,Southern Province,30719,14591,16128
Gacurabwenge,Eastern Province,36859,17625,19234
Gahanga,City of Kigali,79082,40127,38955
Gahara,Western Province,44462,21105,23357
Gahengeri,Western Province,35732,17391,18341
Gahini,Western Province,46009,22449,23560
Gahunga,Southern Province,28059,13282,14777
Gakenke,Southern Province,390617,184534,206083
Gasabo,City of Kigali,879505,443987,435518
Gasaka,Eastern Province,41558,19489,22069
Gasange,Western Province,20725,10054,10671
Gashaki,Southern Province,14272,6761,7511
Gashanda,Western Province,19345,9214,10131
Gashari,Northern Province,21263,10156,11107
Gashenyi,Southern Province,22647,10661,11986
Gashonga,Northern Province,26791,12869,13922
Gashora,Western Province,32251,16027,16224
